review_id,customer_id,product_id,rating,review_date,review_text
106,100,1,4,2025-10-20,Good product
107,45,36,4,2025-03-04,Good product
108,29,37,3,2025-09-23,Average product
109,35,25,4,2025-04-06,Good product
110,12,4,5,2025-03-08,Excellent product
111,17,9,3,2025-03-23,Average product
112,53,20,4,2025-08-14,Good product
113,28,48,5,2025-10-04,Excellent product
114,77,35,3,2025-10-15,Average product
115,38,6,3,2025-06-15,Average product
116,54,13,5,2025-12-25,Excellent product
117,77,47,3,2025-05-01,Average product
118,3,18,2,2025-10-23,Not satisfied
119,66,4,4,2025-08-08,Good product
120,89,26,5,2025-10-25,Excellent product
121,34,30,3,2025-12-23,Average product
122,44,23,3,2025-09-15,Average product
123,91,48,5,2025-04-08,Excellent product
124,16,20,4,2025-07-17,Good product
125,23,42,5,2025-06-14,Excellent product
126,22,6,4,2025-05-25,Good product
127,38,17,5,2025-06-26,Excellent product
128,61,49,5,2025-03-27,Excellent product
129,63,7,4,2025-09-19,Good product
130,61,14,4,2025-02-16,Good product
131,85,50,5,2025-08-12,Excellent product
132,23,3,4,2025-09-06,Good product
133,71,3,5,2025-11-19,Excellent product
134,55,4,4,2025-07-25,Good product
135,64,31,3,2025-03-07,Average product
136,31,47,5,2025-07-21,Excellent product
137,94,33,4,2025-03-30,Good product
138,58,46,4,2025-03-02,Good product
139,81,14,5,2025-08-18,Excellent product
140,39,2,5,2025-02-27,Excellent product
141,56,6,5,2025-06-27,Excellent product
142,38,43,3,2025-02-23,Average product
143,34,47,2,2025-04-22,Not satisfied
144,88,36,5,2025-11-01,Excellent product
145,34,16,5,2025-10-01,Excellent product
146,70,50,4,2025-10-17,Good product
147,51,41,4,2025-05-22,Good product
148,69,25,1,2025-05-23,Very poor experience
149,83,11,4,2025-10-19,Good product
150,82,14,5,2025-12-11,Excellent product
