session_id,customer_id,session_date,device_type,traffic_source,session_duration,pages_viewed
52,43,2025-08-28 01:50:00,Mobile,Direct,22,8
53,4,2025-12-26 14:59:00,Mobile,Direct,3,11
54,93,2025-06-09 01:00:00,Desktop,Direct,19,5
55,5,2025-04-02 11:21:00,Mobile,Paid Ads,21,6
56,1,2025-05-13 03:52:00,Desktop,Paid Ads,2,1
57,78,2025-08-06 18:16:00,Desktop,Organic Search,15,9
58,86,2025-08-27 17:59:00,Desktop,Direct,16,1
59,26,2025-10-19 21:20:00,Mobile,Direct,29,4
60,79,2025-10-30 10:38:00,Desktop,Paid Ads,26,12
61,87,2025-03-19 20:39:00,Desktop,Referral,26,11
62,56,2025-01-07 17:06:00,Tablet,Paid Ads,11,12
63,18,2025-10-21 12:18:00,Tablet,Organic Search,23,5
64,28,2025-07-21 17:42:00,Mobile,Organic Search,7,6
65,90,2025-05-06 13:31:00,Mobile,Organic Search,13,4
66,25,2025-03-09 23:37:00,Tablet,Organic Search,13,2
67,100,2025-04-21 00:33:00,Tablet,Organic Search,12,3
68,42,2025-04-11 11:31:00,Desktop,Social Media,27,8
69,59,2025-12-31 23:20:00,Mobile,Referral,22,5
70,70,2025-03-11 10:23:00,Desktop,Direct,30,8
71,55,2025-05-17 12:38:00,Tablet,Direct,8,5
72,36,2025-08-11 00:05:00,Desktop,Email,28,11
73,4,2025-12-01 10:45:00,Desktop,Organic Search,30,8
74,51,2025-03-03 03:13:00,Tablet,Direct,8,10
75,51,2025-06-22 22:03:00,Mobile,Paid Ads,26,6
76,68,2025-10-02 12:03:00,Mobile,Email,17,12
77,47,2025-01-01 01:29:00,Desktop,Paid Ads,5,11
78,100,2025-11-29 04:18:00,Mobile,Paid Ads,18,8
79,10,2025-09-18 02:51:00,Desktop,Referral,8,2
80,84,2025-11-17 22:22:00,Mobile,Organic Search,17,9
81,75,2025-02-07 18:38:00,Mobile,Referral,30,12
82,50,2025-11-30 06:15:00,Tablet,Organic Search,2,12
83,99,2025-02-04 08:32:00,Desktop,Email,29,8
84,11,2025-12-27 20:52:00,Desktop,Email,30,3
85,85,2025-06-14 00:04:00,Tablet,Direct,14,10
86,62,2025-05-12 10:00:00,Mobile,Social Media,25,2
87,40,2025-11-24 21:58:00,Desktop,Direct,29,6
88,97,2025-01-23 09:34:00,Tablet,Organic Search,25,1
89,97,2025-11-05 01:43:00,Tablet,Direct,6,6
90,67,2025-06-28 09:13:00,Tablet,Referral,1,4
91,94,2025-08-19 15:22:00,Mobile,Paid Ads,25,1
92,27,2025-10-16 21:17:00,Desktop,Social Media,10,5
93,74,2025-12-19 19:01:00,Desktop,Referral,15,4
94,88,2025-07-03 00:14:00,Mobile,Referral,29,4
95,76,2025-06-22 02:09:00,Tablet,Direct,19,4
96,36,2025-10-09 21:46:00,Mobile,Email,11,10
97,38,2025-05-14 11:51:00,Tablet,Social Media,14,11
98,12,2025-08-06 02:20:00,Desktop,Social Media,25,1
99,60,2025-06-20 16:43:00,Mobile,Referral,8,10
100,92,2025-10-14 23:21:00,Mobile,Paid Ads,19,8
101,41,2025-08-02 12:58:00,Tablet,Organic Search,14,5
102,21,2025-12-12 06:59:00,Desktop,Organic Search,1,6
103,55,2025-05-29 16:08:00,Mobile,Organic Search,10,4
104,57,2025-04-27 15:36:00,Tablet,Email,25,10
105,75,2025-10-21 06:25:00,Tablet,Social Media,27,2
106,91,2025-01-17 10:39:00,Tablet,Direct,12,11
107,51,2025-07-01 11:03:00,Mobile,Email,6,5
108,88,2025-06-10 02:56:00,Mobile,Direct,22,10
109,28,2025-02-18 16:06:00,Mobile,Email,9,1
110,20,2025-04-28 05:41:00,Tablet,Referral,8,1
111,71,2025-09-14 19:24:00,Desktop,Direct,27,8
112,83,2025-11-14 00:31:00,Desktop,Referral,17,8
113,19,2025-01-18 12:48:00,Desktop,Direct,15,2
114,66,2025-04-23 01:53:00,Desktop,Paid Ads,19,4
115,1,2025-09-21 15:24:00,Tablet,Direct,10,10
116,83,2025-06-11 23:23:00,Mobile,Email,18,7
117,93,2025-01-08 13:52:00,Mobile,Direct,24,7
118,59,2025-09-12 05:27:00,Desktop,Organic Search,15,5
119,67,2025-02-20 16:46:00,Desktop,Direct,24,8
120,46,2025-06-14 03:01:00,Mobile,Paid Ads,23,2
121,7,2025-11-26 12:54:00,Mobile,Referral,19,3
122,36,2025-10-12 11:39:00,Desktop,Social Media,1,5
123,20,2025-01-11 12:25:00,Tablet,Social Media,3,7
124,12,2025-01-20 04:20:00,Mobile,Paid Ads,30,9
125,98,2025-02-22 15:39:00,Tablet,Email,26,6
126,24,2025-03-22 11:53:00,Desktop,Direct,14,7
127,96,2025-07-28 18:58:00,Mobile,Paid Ads,9,8
128,66,2025-08-25 21:44:00,Tablet,Organic Search,22,6
129,4,2025-06-03 07:21:00,Mobile,Referral,2,7
130,37,2025-03-16 13:57:00,Desktop,Referral,10,4
131,41,2025-02-03 17:20:00,Mobile,Organic Search,6,10
132,76,2025-03-28 05:41:00,Mobile,Direct,25,6
133,91,2025-06-17 10:09:00,Mobile,Organic Search,21,7
134,10,2025-06-22 23:44:00,Desktop,Referral,28,10
135,46,2025-03-05 02:09:00,Desktop,Direct,1,3
136,53,2025-10-19 23:14:00,Desktop,Referral,21,11
137,40,2025-01-11 11:15:00,Mobile,Direct,7,8
138,99,2025-11-06 01:37:00,Tablet,Paid Ads,22,5
139,56,2025-10-16 12:30:00,Tablet,Direct,20,11
140,81,2025-12-31 08:01:00,Mobile,Social Media,2,5
141,73,2025-07-20 04:55:00,Mobile,Organic Search,25,11
142,42,2025-01-25 17:42:00,Tablet,Direct,18,5
143,44,2025-04-12 14:25:00,Tablet,Referral,12,11
144,49,2025-01-17 05:29:00,Mobile,Organic Search,15,12
145,62,2025-03-21 03:35:00,Tablet,Referral,17,7
146,80,2025-07-17 20:23:00,Mobile,Social Media,25,12
147,15,2025-02-28 08:08:00,Mobile,Social Media,15,10
148,16,2025-07-18 06:40:00,Tablet,Social Media,21,6
149,7,2025-09-27 05:34:00,Mobile,Organic Search,19,8
150,59,2025-08-03 09:53:00,Tablet,Paid Ads,20,7
151,99,2025-04-13 21:36:00,Desktop,Direct,12,12
152,45,2025-04-08 02:10:00,Mobile,Direct,8,10
153,55,2025-12-30 00:38:00,Tablet,Organic Search,4,6
154,25,2025-07-29 19:44:00,Mobile,Social Media,12,2
155,55,2025-08-15 19:53:00,Desktop,Paid Ads,27,7
156,13,2025-05-21 21:37:00,Tablet,Direct,7,4
157,29,2025-11-14 04:04:00,Mobile,Email,15,9
158,10,2025-12-25 05:39:00,Mobile,Organic Search,30,1
159,3,2025-05-22 06:15:00,Desktop,Social Media,4,2
160,62,2025-10-20 07:11:00,Mobile,Referral,14,9
161,15,2025-11-01 22:47:00,Tablet,Social Media,5,5
162,43,2025-07-17 13:26:00,Tablet,Paid Ads,24,11
163,62,2025-11-29 03:45:00,Mobile,Email,4,11
164,72,2025-05-28 22:13:00,Mobile,Direct,13,10
165,98,2025-11-09 03:37:00,Mobile,Organic Search,26,3
166,6,2025-01-05 00:53:00,Tablet,Organic Search,9,3
167,20,2025-08-29 06:58:00,Desktop,Social Media,30,1
168,88,2025-01-03 02:39:00,Tablet,Paid Ads,13,8
169,89,2025-11-25 09:39:00,Desktop,Referral,2,11
170,56,2025-11-19 10:34:00,Mobile,Organic Search,3,9
171,98,2025-11-28 02:49:00,Mobile,Organic Search,5,11
172,59,2025-08-14 16:23:00,Tablet,Paid Ads,8,11
173,5,2025-06-25 15:13:00,Desktop,Referral,28,12
174,69,2025-03-22 18:57:00,Mobile,Paid Ads,29,3
175,58,2025-11-19 17:43:00,Desktop,Direct,13,1
176,6,2025-08-04 19:30:00,Mobile,Direct,27,9
177,13,2025-12-29 09:16:00,Mobile,Referral,10,4
178,63,2025-06-04 07:01:00,Tablet,Referral,11,10
179,31,2025-01-23 07:05:00,Desktop,Direct,21,7
180,31,2025-03-23 05:55:00,Desktop,Paid Ads,13,12
181,39,2025-08-12 17:49:00,Tablet,Organic Search,9,1
182,95,2025-12-20 11:39:00,Mobile,Direct,16,6
183,83,2025-03-15 20:56:00,Desktop,Email,28,5
184,93,2025-10-05 20:19:00,Desktop,Email,27,1
185,12,2025-07-12 00:21:00,Desktop,Direct,18,2
186,14,2025-07-11 11:26:00,Mobile,Email,4,11
187,99,2025-01-07 00:28:00,Tablet,Organic Search,6,3
188,75,2025-02-27 12:17:00,Mobile,Email,17,3
189,13,2025-02-08 21:34:00,Tablet,Referral,29,11
190,32,2025-05-10 16:13:00,Desktop,Direct,27,3
191,81,2025-08-24 16:28:00,Mobile,Referral,27,4
192,6,2025-05-27 23:30:00,Tablet,Organic Search,26,12
193,38,2025-01-15 19:45:00,Mobile,Direct,17,9
194,24,2025-01-12 21:34:00,Tablet,Email,14,9
195,17,2025-04-03 22:12:00,Tablet,Direct,14,2
196,71,2025-12-15 15:59:00,Mobile,Email,26,3
197,20,2025-02-15 08:46:00,Mobile,Paid Ads,14,7
198,17,2025-08-24 08:40:00,Desktop,Organic Search,28,6
199,2,2025-12-10 09:43:00,Tablet,Referral,17,8
200,21,2025-10-01 22:23:00,Desktop,Paid Ads,15,6
201,32,2025-01-11 22:04:00,Mobile,Organic Search,28,6
202,41,2025-09-24 03:33:00,Tablet,Organic Search,17,12
203,46,2025-06-09 09:51:00,Desktop,Paid Ads,28,4
204,33,2025-07-21 15:35:00,Desktop,Email,1,2
205,97,2025-10-16 09:48:00,Desktop,Paid Ads,7,2
206,38,2025-12-25 01:29:00,Desktop,Social Media,18,2
207,44,2025-11-01 05:16:00,Tablet,Direct,6,9
208,6,2025-03-14 23:02:00,Tablet,Organic Search,18,12
209,8,2025-11-24 22:21:00,Desktop,Direct,7,11
210,84,2025-07-27 14:59:00,Desktop,Social Media,22,10
211,3,2025-05-07 13:28:00,Desktop,Paid Ads,11,2
212,12,2025-03-28 15:08:00,Mobile,Referral,19,10
213,19,2025-02-24 12:29:00,Mobile,Referral,23,5
214,55,2025-10-15 05:06:00,Desktop,Paid Ads,18,3
215,22,2025-02-06 22:55:00,Mobile,Direct,3,12
216,74,2025-08-31 00:34:00,Mobile,Referral,22,1
217,7,2025-11-28 14:21:00,Mobile,Social Media,29,8
218,20,2025-10-20 08:35:00,Desktop,Email,28,8
219,50,2025-06-26 15:46:00,Mobile,Email,26,5
220,98,2025-08-16 09:37:00,Tablet,Social Media,4,6
221,39,2025-08-31 23:14:00,Desktop,Paid Ads,29,12
222,3,2025-08-25 08:49:00,Mobile,Organic Search,3,10
223,8,2025-04-10 12:31:00,Desktop,Social Media,12,2
224,37,2025-11-21 16:44:00,Mobile,Paid Ads,22,12
225,14,2025-08-19 18:27:00,Desktop,Paid Ads,17,11
226,89,2025-01-28 01:05:00,Tablet,Referral,5,1
227,40,2025-06-13 05:00:00,Tablet,Direct,10,3
228,14,2025-03-21 14:03:00,Desktop,Organic Search,1,5
229,20,2025-09-21 16:11:00,Mobile,Organic Search,22,4
230,28,2025-05-01 18:50:00,Mobile,Referral,12,5
231,49,2025-04-30 02:35:00,Tablet,Paid Ads,12,11
232,61,2025-11-30 16:08:00,Tablet,Referral,20,10
233,29,2025-01-01 01:58:00,Tablet,Paid Ads,5,5
234,59,2025-11-21 19:44:00,Mobile,Direct,14,12
235,20,2025-06-30 04:01:00,Tablet,Direct,30,2
236,89,2025-11-02 20:08:00,Tablet,Direct,18,7
237,44,2025-10-21 02:30:00,Desktop,Referral,20,2
238,8,2025-12-07 02:08:00,Tablet,Referral,6,5
239,86,2025-06-24 20:16:00,Tablet,Social Media,11,10
240,30,2025-04-24 19:28:00,Desktop,Organic Search,12,11
241,72,2025-12-11 13:33:00,Mobile,Organic Search,19,5
242,48,2025-03-10 06:00:00,Desktop,Paid Ads,28,2
243,64,2025-03-04 19:44:00,Mobile,Organic Search,16,9
244,77,2025-06-08 08:08:00,Tablet,Email,2,6
245,4,2025-04-12 00:18:00,Desktop,Social Media,18,9
246,23,2025-12-05 23:08:00,Tablet,Organic Search,24,6
247,71,2025-03-30 12:04:00,Tablet,Organic Search,12,10
248,71,2025-05-23 15:16:00,Tablet,Email,29,9
249,33,2025-11-01 12:15:00,Mobile,Direct,12,6
250,90,2025-09-24 14:26:00,Desktop,Paid Ads,10,2
251,46,2025-09-22 17:06:00,Mobile,Social Media,8,2
252,70,2025-04-27 20:44:00,Desktop,Organic Search,12,5
253,98,2025-10-31 21:56:00,Tablet,Email,4,11
254,48,2025-12-09 22:29:00,Desktop,Social Media,12,11
255,43,2025-01-21 06:46:00,Tablet,Referral,28,9
256,36,2025-07-22 00:50:00,Tablet,Email,21,6
257,19,2025-10-17 22:37:00,Mobile,Email,16,5
258,52,2025-01-27 12:30:00,Tablet,Social Media,4,2
259,2,2025-03-18 10:43:00,Desktop,Organic Search,30,11
260,7,2025-12-17 18:51:00,Desktop,Referral,7,8
261,42,2025-10-25 15:51:00,Desktop,Paid Ads,1,12
262,45,2025-12-28 09:18:00,Tablet,Referral,23,6
263,21,2025-08-02 20:43:00,Mobile,Social Media,9,10
264,88,2025-05-01 11:21:00,Mobile,Social Media,27,5
265,68,2025-02-19 11:03:00,Tablet,Email,28,7
266,74,2025-12-11 02:25:00,Tablet,Email,10,1
267,55,2025-08-30 09:40:00,Tablet,Organic Search,3,12
268,98,2025-06-10 10:30:00,Mobile,Organic Search,22,5
269,15,2025-06-09 10:49:00,Mobile,Paid Ads,13,9
270,25,2025-09-15 22:23:00,Tablet,Referral,18,3
271,42,2025-05-05 19:50:00,Mobile,Organic Search,11,7
272,24,2025-07-07 05:01:00,Tablet,Email,26,6
273,42,2025-10-15 19:50:00,Mobile,Paid Ads,4,8
274,97,2025-06-13 01:12:00,Mobile,Direct,6,9
275,68,2025-09-26 09:20:00,Desktop,Email,5,12
276,27,2025-06-09 02:28:00,Desktop,Social Media,3,6
277,44,2025-02-27 21:22:00,Desktop,Paid Ads,2,7
278,44,2025-09-15 10:13:00,Mobile,Direct,2,7
279,30,2025-04-26 21:27:00,Desktop,Email,26,4
280,69,2025-11-29 04:46:00,Tablet,Organic Search,23,10
281,62,2025-06-07 10:32:00,Tablet,Email,17,12
282,8,2025-01-03 03:56:00,Tablet,Email,19,8
283,5,2025-12-26 21:11:00,Mobile,Organic Search,30,5
284,84,2025-08-19 13:19:00,Mobile,Referral,16,12
285,38,2025-08-14 08:28:00,Desktop,Email,1,7
286,66,2025-12-27 05:40:00,Desktop,Direct,25,9
287,65,2025-11-27 13:54:00,Desktop,Social Media,4,2
288,55,2025-09-19 06:45:00,Tablet,Paid Ads,28,5
289,12,2025-08-27 09:20:00,Desktop,Paid Ads,18,3
290,30,2025-08-04 02:13:00,Tablet,Email,14,9
291,15,2025-06-12 09:37:00,Tablet,Social Media,3,2
292,78,2025-10-03 04:25:00,Mobile,Social Media,25,6
293,33,2025-06-13 01:34:00,Desktop,Organic Search,14,6
294,52,2025-01-25 19:00:00,Desktop,Referral,2,4
295,25,2025-03-20 19:56:00,Mobile,Paid Ads,20,2
296,93,2025-11-12 07:26:00,Desktop,Referral,11,2
297,60,2025-05-31 07:46:00,Tablet,Direct,5,3
298,34,2025-09-23 05:44:00,Desktop,Paid Ads,11,2
299,31,2025-02-25 07:36:00,Tablet,Direct,9,3
300,21,2025-11-25 19:39:00,Desktop,Paid Ads,19,7
